Unnamed: 0,REPORTING_DATE,into_default_flag,PD
392,11/30/2011,0,6.0299999999999995e-05
393,11/30/2006,0,6.13e-05
394,9/30/2016,0,6.0899999999999996e-05
395,12/31/2012,0,4.8599999999999995e-05
396,1/31/2017,0,6.1e-05
397,12/31/2018,0,5.36e-05
398,6/30/2012,0,8.71e-05
399,5/31/2019,0,0.00016623700000000001
400,11/30/2007,0,5.3200000000000006e-05
401,8/31/2019,0,5.11e-05
402,9/30/2018,0,5.94e-05
403,5/31/2009,0,6.14e-05
404,1/31/2010,0,5.3200000000000006e-05
405,9/30/2019,0,6.0899999999999996e-05
406,9/30/2016,0,5.19e-05
407,7/31/2016,0,8.72e-05
408,6/30/2019,0,0.00017597900000000002
409,9/30/2018,0,0.000171035
410,3/31/2018,0,5.9499999999999996e-05
411,10/31/2011,0,5.3200000000000006e-05
412,9/30/2008,0,8.79e-05
413,8/31/2012,0,5.379999999999999e-05
414,10/31/2016,0,6.02e-05
415,4/30/2016,0,6.31e-05
416,6/30/2017,0,6.18e-05
417,8/31/2018,0,6.26e-05
418,4/30/2008,0,8.85e-05
419,5/31/2015,0,8.540000000000002e-05
420,6/30/2010,0,5.3200000000000006e-05
421,7/31/2007,0,5.7999999999999994e-05
422,4/30/2016,0,5.21e-05
423,3/31/2013,0,4.98e-05
424,8/31/2019,0,5.98e-05
425,7/31/2010,0,5.99e-05
426,3/31/2013,0,5.27e-05
427,3/31/2016,0,6.29e-05
428,12/31/2015,0,6.0599999999999996e-05
429,11/30/2018,1,0.993556445
430,12/31/2011,0,6.29e-05
431,11/30/2011,0,5.3e-05
432,7/31/2013,0,6.0599999999999996e-05
433,7/31/2018,0,5.18e-05
434,9/30/2009,0,0.000289248
435,10/31/2014,0,5.28e-05
436,1/31/2007,0,5.3500000000000006e-05
437,6/30/2013,0,5.16e-05
438,10/31/2015,0,8.66e-05
439,8/31/2019,0,5.3200000000000006e-05
440,7/31/2013,1,0.989599426
441,9/30/2013,0,6.13e-05
442,7/31/2019,0,5.429999999999999e-05
443,7/31/2012,0,5.8200000000000005e-05
444,4/30/2016,0,9.83e-05
445,2/29/2016,0,5.429999999999999e-05
446,11/30/2011,0,0.000100111
447,2/29/2016,0,5.27e-05
448,1/31/2019,0,5.28e-05
449,7/31/2011,0,4.8599999999999995e-05
450,12/31/2010,0,6.13e-05
451,3/31/2018,0,5.2300000000000004e-05
452,8/31/2017,0,6.13e-05
453,6/30/2017,0,0.00017957400000000003
454,4/30/2018,0,6.08e-05
455,12/31/2011,0,5.4000000000000005e-05
456,11/30/2008,0,8.609999999999999e-05
457,8/31/2008,0,4.970000000000001e-05
458,1/31/2017,0,5.4600000000000006e-05
459,4/30/2009,0,5.31e-05
460,7/31/2019,0,5.19e-05
461,12/31/2016,0,6.14e-05
462,11/30/2014,0,8.669999999999999e-05
463,7/31/2019,0,5.96e-05
464,11/30/2016,0,5.02e-05
465,6/30/2011,0,5.4000000000000005e-05
466,6/30/2018,0,6.14e-05
467,12/31/2016,0,5.21e-05
468,1/31/2014,0,0.00010126
469,8/31/2015,0,5.11e-05
470,7/31/2018,0,5.25e-05
471,4/30/2019,0,5.25e-05
472,5/31/2017,0,8.7e-05
473,3/31/2018,0,6.14e-05
474,5/31/2015,0,5.25e-05
475,3/31/2015,0,6.11e-05
476,6/30/2019,0,5.3e-05
477,11/30/2012,1,0.989459387
478,8/31/2018,0,5.12e-05
479,11/30/2014,0,5.36e-05
480,10/31/2017,0,8.73e-05
481,9/30/2010,0,6.15e-05
482,1/31/2019,0,5.3200000000000006e-05
483,11/30/2007,0,6.14e-05
484,7/31/2011,0,5.22e-05
485,3/31/2018,0,6.13e-05
486,8/31/2019,0,6.22e-05
487,9/30/2016,0,5.3200000000000006e-05
488,7/31/2019,0,5.9499999999999996e-05
489,4/30/2018,0,0.000173447
490,12/31/2014,0,8.7e-05
491,7/31/2011,0,5.3299999999999995e-05
492,5/31/2017,0,5.379999999999999e-05
493,1/31/2019,0,5.31e-05
494,9/30/2018,0,6.08e-05
495,3/31/2017,0,5.05e-05
496,8/31/2014,0,5.22e-05
497,5/31/2019,0,5.94e-05
498,6/30/2013,0,8.83e-05
499,12/31/2017,0,5.3299999999999995e-05
500,3/31/2012,0,5.22e-05
501,2/28/2014,0,8.56e-05
502,12/31/2009,0,6.159999999999999e-05
503,5/31/2017,0,5.9999999999999995e-05
504,8/31/2011,0,6.15e-05
505,5/31/2013,0,5.45e-05
506,7/31/2012,0,6.29e-05
507,3/31/2013,0,5.41e-05
508,9/30/2017,0,6.0899999999999996e-05
509,8/31/2019,0,5.920000000000001e-05
510,5/31/2015,0,5.28e-05
511,4/30/2016,0,8.57e-05
512,1/31/2013,0,8.68e-05
513,10/31/2014,0,6.29e-05
514,5/31/2015,0,5.17e-05
515,4/30/2019,0,5.4000000000000005e-05
516,8/31/2016,0,6.2e-05
517,3/31/2019,0,8.420000000000001e-05
518,10/31/2007,0,9.96e-05
519,1/31/2011,0,5.19e-05
520,2/28/2017,0,6.11e-05
521,1/31/2016,0,6.13e-05
522,5/31/2014,0,5.27e-05
523,4/30/2019,0,6.13e-05
524,3/31/2019,0,6.13e-05
525,12/31/2010,0,5.79e-05
526,9/30/2009,0,8.499999999999999e-05
527,10/31/2013,0,9.22e-05
528,2/28/2013,0,5.13e-05
529,11/30/2016,0,5.19e-05
530,5/31/2017,0,0.00010046
531,9/30/2019,0,6.04e-05
532,11/30/2011,0,9.88e-05
533,7/31/2010,0,5.2900000000000005e-05
534,8/31/2010,0,6.08e-05
535,1/31/2011,0,5.3299999999999995e-05
536,11/30/2013,0,6.08e-05
537,7/31/2016,0,5.4600000000000006e-05
538,6/30/2018,0,5.1e-05
539,7/31/2018,0,5.3e-05
540,2/28/2019,0,5.2300000000000004e-05
541,11/30/2013,0,5.11e-05
542,12/31/2015,0,5.16e-05
543,5/31/2019,0,5.3200000000000006e-05
544,10/31/2014,0,5.2000000000000004e-05
545,9/30/2019,0,5.31e-05
546,3/31/2017,0,8.72e-05
547,6/30/2008,0,8.49e-05
548,11/30/2016,0,5.629999999999999e-05
549,7/31/2019,0,8.809999999999999e-05
550,11/30/2016,0,5.18e-05
551,8/31/2016,0,0.000166585
552,8/31/2011,0,5.13e-05
553,10/31/2008,0,8.62e-05
554,12/31/2016,0,8.96e-05
555,7/31/2010,0,8.6e-05
556,8/31/2008,0,5.3500000000000006e-05
557,8/31/2010,0,8.94e-05
558,10/31/2014,0,5.28e-05
559,1/31/2013,0,5.91e-05
560,7/31/2009,0,5.2900000000000005e-05
561,7/31/2012,0,8.85e-05
562,6/30/2014,0,0.000103071
563,1/31/2017,0,0.000103022
564,3/31/2013,0,8.690000000000001e-05
565,3/31/2019,0,6.31e-05
566,9/30/2017,0,5.2900000000000005e-05
567,11/30/2011,0,5.3200000000000006e-05
568,6/30/2018,0,5.21e-05
569,8/31/2018,0,6.23e-05
570,3/31/2018,0,5.379999999999999e-05
571,11/30/2010,0,5.4000000000000005e-05
572,12/31/2012,0,6.0599999999999996e-05
573,3/31/2012,0,6.24e-05
574,3/31/2010,0,5.6000000000000006e-05
575,9/30/2019,0,8.73e-05
576,2/29/2016,0,6.12e-05
577,8/31/2012,0,5.31e-05
578,7/31/2014,0,6.2e-05
579,5/31/2016,0,5.3e-05
580,3/31/2011,0,8.4e-05
581,3/31/2009,0,5.0600000000000003e-05
582,12/31/2011,0,8.63e-05
583,10/31/2010,0,5.3299999999999995e-05
584,12/31/2018,0,5.8399999999999997e-05
585,12/31/2012,0,8.7e-05
586,12/31/2012,0,5.45e-05
587,10/31/2011,0,4.970000000000001e-05
588,2/28/2019,0,6.26e-05
589,7/31/2018,0,5.9999999999999995e-05
590,4/30/2007,0,8.65e-05
591,11/30/2015,0,5.0600000000000003e-05
592,7/31/2017,0,5.4600000000000006e-05
593,10/31/2018,0,5.0600000000000003e-05
594,7/31/2019,0,6.13e-05
595,11/30/2013,0,8.640000000000001e-05
596,3/31/2018,0,5.3400000000000004e-05
597,4/30/2012,0,4.8700000000000005e-05
598,6/30/2009,0,8.590000000000001e-05
599,9/30/2019,0,5.8599999999999995e-05
600,1/31/2016,0,6.409999999999999e-05
601,7/31/2016,0,6.14e-05
602,9/30/2009,0,8.809999999999999e-05
603,5/31/2017,0,6.14e-05
604,11/30/2015,0,5.9999999999999995e-05
605,4/30/2012,0,8.690000000000001e-05
